Estado;Entidad;PROJECT_ID;Caso;Q productos_2018;Desembolso / facturación_2018;Cartera_2018;Stock_2018;Q productos_2019;Desembolso / facturación_2019;Cartera_2019;Stock_2019;Q productos_2020;Desembolso / facturación_2020;Cartera (millones de $)_2020;Stock_2020;Q productos_2021;Desembolso / facturación (millones de $)_2021;Cartera (millones de $)_2021;Stock_2021;Q productos_2022;Desembolso / facturación (millones de $)_2022;Cartera (millones de $)_2022;Stock_2022;Q productos_2023;Desembolso / facturación_2023;Cartera_2023;Stock_2023;Q productos_2024;Desembolso / facturación_2024;Cartera_2024;Stock_2024;Q productos_2025;Desembolso / facturación_2025;Cartera_2025;Stock_2025;Unidades;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
L3;Occidente;69863;Propensión Cupo;;;;; 244 ; 11,487 ; 11,487 ; 244 ; 244 ; 11,487 ; 22,974 ; 488 ; 244 ; 11,487 ; 34,461 ; 732 ; 244 ; 11,487 ; 45,948 ; 976 ; 244 ; 11,487 ; 57,435 ; 1,220 ;;;;;;;;;Ingresos Netos despues de provision;;;2300;2300; 2,300 ;2300; 2,300 ; 2,300 ;;
L3;Occidente;516123;Cobranza Occ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 16,591 ; 21,869 ;;;;;;;;
L3;Occidente;721770;NBA Personas;;;;;;;;;;;;;; 154 ;;;; 308 ;;;; 462 ;;;; 616 ;;;;;;;Utilidad antes de impuestos;;; 911 ; 977 ; 1,323 ; 3,211 ; 6,502,275 ; 13,173,609,150 ;;
L3;Occidente;298010;NBA Empresas;;;;;;;;;;;;;; 477 ;;;; 954 ;;;; 1,432 ;;;; 1,909 ;;;;;;;Utilidad antes de impuestos;;;; 321 ; 485 ; 1,107 ; 2,241,675 ; 4,541,633,550 ;;
L3;Occidente;396544;Retención Poscrisis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LTV;;;;; 430 ;;;;;
L3;Occidente;319205;Pricing BDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 900 ; 11,100 ; 16,200 ; 17,000 ;;;;;
L0;Occidente;887993;Otorgamiento Pymes Fase 2;;;;;;;;;;;;;;;;; 235 ; 51,310 ; 47,391 ; 235 ; 235 ; 102,620 ; 94,245 ; 470 ; 304 ; 164,925 ; 151,605 ; 774 ; 304 ; 227,231 ; 208,718 ; 1,078 ;Utilidad antes de impuestos;;;;;;;;;;
L3;Occidente;26747;Otorgamiento Pymes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Utilidad antes de impuestos;;;; 1,692 ; 10,285 ;;;;;
L3;Popular;351269;Cobranzas Pop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 50,530 ; 31,403 ;;;;;;;;
L5;Popular;14115;Propension Libranza;;;;;;;;; 4,559 ; 121,933 ; 332,668 ;; 2,181 ; 62,460 ; 954,540 ;; 2,227 ; 56,209 ; 1,440,911 ;;;;;;;;;;;;;;;;; 3,118 ; 3,118 ; 3,118 ; 6,310,832 ; 12,779,434,800 ; 25,891,134,904,800 ;;
