Campaña;Usuarios Iniciales;Usuarios Contactables;Usuarios Contactables (%);Usuarios Sin Bounce;Usuarios Sin Bounce (%);Usuarios Compra;Usuarios Compra(%);Usuarios Compra >1 Cuota;Usuarios Compra >1 Cuota (%);Efectividad Inactivos;Delta CP >1 Cuota;Delta CP 1 Cuota;Delta TP >1 Cuota;Delta TP 1 Cuota;TP >1 Cuota;TP 1 Cuota;# Compras >1 Cuota Contactable;# Compras 1 Cuota Contactable;# Usuarios Compra Contactables;# Usuarios Contactables;CP 1 Cuota;CP >1 Cuota;Cuota Promedio > 1;$Usuarios NO Contactables Inactivos;$Usuarios Compra NO Contactables Inactivos;$Tasa de Activacion Forzada;$Tasa de Activacion Natural
mayo2025-julio2025;15069;9871;66%;9618;97%;2224;23%;2043;21%;23.12%;0.03;0.5;-$ 52,519.96;-$ 11,572.38;$ 585,408.88;$ 179,855.02;6364;12938;2224;9871;3.12;6.67;14.45;4972;687;22.53%;13.80%
marzo2025-mayo2025;7290;4193;58%;4040;96%;980;24%;1076;27%;24.26%;0.13;0.35;-$ 35,254.22;$ 24,599.00;$ 463,857.25;$ 173,954.47;3187;5477;980;4193;3.01;5.28;12.91;3067;586;23.37%;19.10%
febrero2025-abril2025;8842;5379;61%;5379;100%;1294;24%;1331;25%;24.06%;-0.02;0.47;$ 4,456.71;-$ 2,491.96;$ 505,032.47;$ 173,000.53;4231;8375;1294;5379;3.17;6.63;14.94;3416;633;24.06%;18.50%
enero2025-marzo2025;7827;3410;44%;3342;98%;508;15%;541;16%;15.20%;-0.03;0.99;-$ 16,261.15;-$ 21,492.91;$ 576,452.05;$ 164,348.28;1625;3514;508;3410;2.99;7.15;14.85;4389;256;14.90%;5.80%
diciembre2024-febrero2025;14702;7765;53%;7596;98%;1499;20%;1639;22%;19.73%;0.11;0.22;$ 12,483.73;-$ 13,604.91;$ 530,810.71;$ 173,610.14;5172;9871;1499;7765;3.2;6.33;12.94;6882;857;19.30%;12.50%
noviembre2024-enero2025;8225;3880;47%;3813;98%;1166;31%;1572;41%;30.58%;-0.09;0.3;$ 33,190.54;-$ 8,172.54;$ 450,979.23;$ 139,884.76;5261;9352;1166;3880;3.3;6.49;10.4;4323;982;30.05%;22.70%
octubre2024-diciembre2024;8108;3430;42%;3372;98%;975;29%;1316;39%;28.91%;-0.08;0.44;$ 16,054.67;$ 299.08;$ 410,980.05;$ 160,212.48;4772;8182;975;3430;3.59;6.7;12.18;4659;838;28.43%;18.00%
septiembre2024-noviembre2024;4523;1800;40%;1763;98%;515;29%;831;47%;29.21%;-0.46;-0.73;$ 11,734.24;$ 3,206.15;$ 401,081.05;$ 126,960.96;3054;5253;515;1800;3.43;6.48;10.21;2712;576;28.61%;21.20%
agosto2024-octubre2024;3973;1707;43%;1650;97%;520;32%;790;48%;31.52%;0.21;0.24;-$ 56,497.46;$ 11,556.02;$ 372,055.88;$ 137,714.81;2507;4808;520;1707;3.28;6.69;8.96;2258;550;30.46%;24.40%
julio2024-septiembre2024;6083;2932;48%;2839;97%;988;35%;1478;52%;34.80%;0.43;0.75;-$ 13,859.80;$ 14,494.01;$ 378,521.01;$ 122,107.69;5154;8455;988;2932;3.7;6.66;11.64;3142;962;33.70%;30.60%
junio2024-agosto2024;12244;7611;62%;7375;97%;3709;50%;4322;59%;50.29%;0.06;0.03;-$ 19,294.30;-$ 7,545.07;$ 392,774.05;$ 139,769.94;15231;29115;3709;7611;3.55;6.91;10.54;4601;2141;48.73%;46.50%
marzo2024-mayo2024;4686;3369;72%;3369;100%;1621;48%;1537;46%;48.12%;0.01;-0.53;$ 661.37;$ 10,384.16;$ 407,860.08;$ 149,040.67;5000;10214;1621;3369;3.26;6;11.43;1305;635;48.12%;48.70%
febrero2024-marzo2024;6532;5060;77%;4942;98%;2022;41%;1731;35%;40.91%;0.19;0.27;-$ 42,204.90;$ 17,938.23;$ 383,289.88;$ 126,411.22;4767;8354;2022;5060;2.79;4.78;9.81;1453;521;39.96%;35.90%
enero2024-marzo2024;6087;4871;80%;4725;97%;2195;46%;1922;41%;46.46%;0.01;-0.16;-$ 10,935.24;-$ 3,867.02;$ 422,535.14;$ 124,338.26;6129;12696;2195;4871;3.19;6.72;11.5;1195;466;45.06%;39.00%
diciembre2023-febrero2024;5200;4046;78%;3907;97%;1811;46%;1698;43%;46.35%;0.23;-0.13;-$ 52,383.37;$ 7,406.00;$ 381,931.51;$ 159,204.74;5924;8934;1811;4046;3.54;5.79;11.47;1139;462;44.76%;40.60%
noviembre2023-enero2024;2770;2243;81%;2243;100%;935;42%;860;38%;41.69%;0.51;1.13;-$ 69,321.95;-$ 45,273.15;$ 401,793.68;$ 136,444.62;2891;5097;935;2243;3.46;6.79;11.87;520;217;41.69%;41.70%
octubre2023-diciembre2023;4774;3781;79%;3609;95%;1841;51%;1787;50%;51.01%;0.65;0.45;-$ 83,436.58;-$ 15,388.14;$ 318,115.88;$ 123,706.04;7010;9335;1841;3781;4.05;6.23;10.03;962;423;48.69%;44.00%
septiembre2023-noviembre2023;12808;9958;78%;9513;96%;5173;54%;4985;52%;54.38%;0.14;-0.23;-$ 2,322.66;$ 18,365.20;$ 320,228.72;$ 120,947.71;19121;28892;5173;9958;3.87;6.35;10.85;2765;1413;51.95%;51.10%
