;;;;;;;;;Resultados de Backtesting;;;;;;;;;;;;;;;;
Fecha de registro;Caso de uso;Modelo;DS asociado;Estado del modelo;Estado Job de recalibración;Frecuencia recalibración (ej. 1 día, 3 meses);Fecha de última recalibración;Fecha de última ejecución del job;Cumple regla Tasa de V.O.;Tasa de V.O.;Cumple regla scorecard;# breaks;Cumple regla PSI ;Valor PSI;Cumple regla métricas;Métrica 1;Valor Métrica 1;Métrica 2;Valor Métrica 2;Métrica 3;Valor Métrica 3;Métrica 4;Valor Métrica 4;Tareas/Comentarios;Avance 13/06
1/1/2000;Aumento de Uso (Durmientes);Modelo clasificación reactivación uso TC;Leandro Sanchez;Operativizado en seguimiento;En dev;1 mes;26/3/2025;26/4/2025;No;0.3%;No;2;Si;0.152514;No;Precisión (Precision);;Sensibilidad (Recall);0.660;Estadístico Kolmogorov-Smirnov (KS-test);;Área bajo la curva ROC (AUC);0.6945;;
1/1/2000;Aumento de Uso (Activos);Modelo kmeans segemntación clinetes TC Tradicional ;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Inercia;1,107,721;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo kmeans segemntación clinetes TC Express;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Inercia;214,905;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo kmeans segemntación clinetes TC La 14;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Inercia;5576.938;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo kmeans segemntación clinetes TC Cero;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Inercia;215780.484;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo kmeans segemntación clinetes TC Copa;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Inercia;254664.784;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo kmeans segemntación clinetes TC Zafiro;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Inercia;12674.862;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo Sist Recom propensión uso TC Tradicional;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Raiz del error cuadrático medio (RMSE Root Mean Square Error);0.5700;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo Sist Recom propensión uso TC Express;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Raiz del error cuadrático medio (RMSE Root Mean Square Error);0.5730;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo Sist Recom propensión uso TC La 14;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Raiz del error cuadrático medio (RMSE Root Mean Square Error);0.565;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo Sist Recom propensión uso TC Cero;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Raiz del error cuadrático medio (RMSE Root Mean Square Error);0.5510;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo Sist Recom propensión uso TC Copa;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Raiz del error cuadrático medio (RMSE Root Mean Square Error);0.5480;;;;;;;;
1/1/2000;Aumento de Uso (Activos);Modelo Sist Recom propensión uso TC Zafiro;Leandro Sanchez;Operativizado en seguimiento;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;No Aplica;Raiz del error cuadrático medio (RMSE Root Mean Square Error);0.5360;;;;;;;;
9/5/2025;Aumento de Uso (Durmientes);Modelo clasificación reactivación uso TC;Leandro Sanchez;Operativizado en seguimiento;En dev;1 mes;26/3/2025;26/4/2025;No;0.3%;No;2;Si;0.152514;No;Precisión (Precision);0.009;Sensibilidad (Recall);0.242;Estadístico Kolmogorov-Smirnov (KS-test);0.688;Área bajo la curva ROC (AUC);0.848833;Cambios de estructura de datos desde la entidad, cambió la tasa. Se hizo ajuste local y está en DE;Ya se realizaron estos cambios, están en paso a prod. 
