decil_probabilidad;marca_bueno_evidente;clientes;respuesta;tasa_buenos;distribucion;lift;saldo_total;sum_pagos_3m_total;sum_pagos_1m_total;sum_pagos_2m_total; sum_pagos_3m_acum ; sum_pagos_1m_acum ; sum_pagos_2m_acum ;tasa_recu_3m_acum;tasa_recu_1m_acum;tasa_recu_2m_acum;buenos_acumulados;psi;ks;roc;fecha;segmento
0;0;32450;808;0,024899846;0,123860635;0,496685003;61989211279;668342780;209607076;444363284; 668.342.780 ; 209.607.076 ; 444.363.284 ;0,010781598;0,003381348;0,007168397;1;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
0;1;103;77;0,747572816;0,000393148;14,91206843;205858065;43095683;17623564;30957019;711438463;227230640;475320303;0,011438824;0,003653515;0,007642411;0,93848028;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
1;0;20241;544;0,026876142;0,077259264;0,536106808;23144365887;348452097;114816160;245492609; 1.059.890.560 ; 342.046.800 ; 720.812.912 ;0,012419704;0,004008074;0,008446422;0,932617634;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
1;1;93;83;0,892473118;0,000354978;17,80244003;164699065;35348667;14972787;27855226;1095239227;357019587;748668138;0,012809196;0,004175466;0,008755929;0,891198416;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
2;0;25888;700;0,027039555;0,098813686;0,539366449;26805089347;415329115;141709981;281702023; 1.510.568.342 ; 498.729.568 ; 1.030.370.161 ;0,013450083;0,004440682;0,009174404;0,88487894;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
2;1;100;93;0,93;0,000381697;18,55100046;159147952;41555214;17811744;30210032;1552123556;516541312;1060580193;0,013800534;0,00459277;0,009430031;0,831582153;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
3;0;27247;984;0,036114068;0,104000947;0,720378586;37190551112;650047339;226180817;446352458; 2.202.170.895 ; 742.722.129 ; 1.506.932.651 ;0,014714598;0,004962765;0,010069113;0,824501294;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
3;1;99;87;0,878787879;0,00037788;17,52945628;167989549;32688782;11728165;23439859;2234859677;754450294;1530372510;0,014916277;0,005035479;0,01021427;0,74958124;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
4;0;25048;863;0,034453849;0,095607432;0,687261679;43561788425;719266904;221845204;484201300; 2.954.126.581 ; 976.295.498 ; 2.014.573.810 ;0,01527559;0,005048359;0,010417226;0,74295721;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
4;1;115;99;0,860869565;0,000438951;17,17203408;181361187;47913243;21915852;36310222;3002039824;998211350;2050884032;0,015508802;0,005156848;0,010595048;0,677249886;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
5;0;25914;1622;0,062591649;0,098912927;1,248535177;55004401594;1350834983;466093911;947559450; 4.352.874.807 ; 1.464.305.261 ; 2.998.443.482 ;0,017511352;0,005890811;0,012062556;0,669712197;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
5;1;126;89;0,706349206;0,000480938;14,08976823;296554276;44228488;13457720;31375391;4397103295;1477762981;3029818873;0,017668202;0,005937867;0,012174254;0,546215928;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
6;0;25966;1378;0,053069398;0,09911141;1,058591865;50827810220;1169519213;412712535;831257896; 5.566.622.508 ; 1.890.475.516 ; 3.861.076.769 ;0,018574055;0,006307918;0,012883189;0,539439622;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
6;1;127;97;0,763779528;0,000484755;15,23534878;280007148;46404458;18507384;34676791;5613026966;1908982900;3895753560;0,01871141;0,006363725;0,012986761;0,43452109;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
7;0;30750;1404;0,045658537;0,117371788;0,910765089;56101928709;1129631925;378599421;801748458; 6.742.658.891 ; 2.287.582.321 ; 4.697.502.018 ;0,018935757;0,006424336;0,013192238;0,427135678;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
7;1;146;119;0,815068493;0,000557277;16,25842579;321893495;65288184;25284658;50241966;6807947075;2312866979;4747743984;0,019101842;0,006489477;0,013321292;0,320237551;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
8;0;24012;1137;0,047351324;0,091653053;0,944531655;40375796763;819850572;247735635;545912843; 7.627.797.647 ; 2.560.602.614 ; 5.293.656.827 ;0,019224324;0,006453482;0,013341593;0,311177098;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
8;1;155;132;0,851612903;0,00059163;16,98738856;294757525;64822675;24748020;45079119;7692620322;2585350634;5338735946;0,019373305;0,006511018;0,013445218;0,224607888;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
9;0;22890;2468;0,107820009;0,087370414;2,150719389;57204372274;2227979162;821070754;1629836765; 9.920.599.484 ; 3.406.421.388 ; 6.968.572.711 ;0,021838188;0,007498546;0,0153399;0,214557637;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
9;1;518;350;0,675675676;0,00197719;13,47791373;1259728298;202650883;83757899;147150894;10123250367;3490179287;7115723605;0,022222659;0,007661676;0,015620507;0,026648393;5,25341158;0,18023644;0,617567806;202503;1_Alto_p1
0;0;2633;11;0,004177744;0,099984811;0,11855249;16632087312;18333681;1703204;5937987; 18.333.681 ; 1.703.204 ; 5.937.987 ;0,001102308;0,000102405;0,00035702;1;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
0;1;1;1;1;3,80E-05;28,37715517;9280423;161115;32223;64446;18494796;1735427;6002433;0,001111375;0,000104284;0,000360693;0,988146552;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
1;0;2628;17;0,006468798;0,099794942;0,183566072;16915325703;25335613;911745;7669120; 43.830.409 ; 2.647.172 ; 13.671.553 ;0,00130616;7,89E-05;0,000407417;0,987068966;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
1;1;5;3;0,6;0,000189869;17,0262931;63243668;2700190;951124;2182935;46530599;3598296;15854488;0,001384018;0,000107029;0,00047158;0,96875;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
2;0;2622;20;0,007627765;0,0995671;0,216454273;18201984109;31708594;3949452;12726083; 78.239.193 ; 7.547.748 ; 28.580.571 ;0,00150977;0,000145648;0,000551515;0,965517241;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
2;1;11;11;1;0,000417711;28,37715517;79412909;3362516;1927238;2753708;81601709;9474986;31334279;0,001572247;0,000182558;0,000603728;0,943965517;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
3;0;2613;25;0,009567547;0,099225336;0,271499762;20496567892;38600819;11786567;27193802; 120.202.528 ; 21.261.553 ; 58.528.081 ;0,001660304;0,000293676;0,000808422;0,932112069;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
3;1;20;19;0,95;0,000759474;26,95829741;292334764;16204467;3081237;12437265;136406995;24342790;70965346;0,001876552;0,000334884;0,000976271;0,905172414;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
4;0;2611;30;0,011489851;0,099149389;0,326049274;23768461087;41788696;8916334;29038025; 178.195.691 ; 33.259.124 ; 100.003.371 ;0,001847378;0,000344802;0,001036748;0,884698276;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
4;1;23;20;0,869565217;0,000873396;24,67578711;253485345;22999417;16462056;20137623;201195108;49721180;120140994;0,002080349;0,000514115;0,001242253;0,85237069;4,515200823;0,346053793;0,718736682;202503;5_Bajo_p1
